iso_code,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,stringency_index,population,median_age,gdp_per_capita,female_smokers,male_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,oecd_mei_index
CHL,Chile,2020-07,355667.0,76274.0,82271.855,9457.0,3769.0,3978.572,18605.52,3990.0170000000003,4303.774000000001,494.711,197.164,208.12399999999994,0.8641935483870965,85.43806451612899,19116209.0,35.4,22767.037,34.2,41.5,2.11,80.18,0.851,99.8576858278824
CHL,Chile,2020-08,411726.0,56059.0,56464.28600000001,11289.0,1832.0,1884.9989999999998,21538.057,2932.538,2953.7380000000003,590.546,95.83700000000002,98.60599999999998,0.9535483870967737,83.55419354838713,19116209.0,35.4,22767.037,34.2,41.5,2.11,80.18,0.851,100.920705557951
CHL,Chile,2020-09,462991.0,51265.0,51458.71600000001,12741.0,1452.0,1503.711,24219.813,2681.7570000000005,2691.889,666.502,75.95700000000001,78.66100000000002,0.9896666666666668,81.94000000000004,19116209.0,35.4,22767.037,34.2,41.5,2.11,80.18,0.851,101.966821334707
CHL,Chile,2020-10,510256.0,47265.0,48321.285,14207.0,1466.0,1442.2889999999998,26692.322,2472.506,2527.7689999999993,743.191,76.687,75.44599999999997,0.9693548387096773,81.94000000000004,19116209.0,35.4,22767.037,34.2,41.5,2.11,80.18,0.851,102.735064721169
CHL,Chile,2020-11,551743.0,41487.0,41372.14199999999,15410.0,1203.0,1197.4279999999999,28862.574,2170.2539999999995,2164.24,806.122,62.92999999999999,62.639,1.0026666666666668,80.46000000000002,19116209.0,35.4,22767.037,34.2,41.5,2.11,80.18,0.851,103.101329927793
CHL,Chile,2020-12,608973.0,57230.0,55009.857000000025,16608.0,1198.0,1196.145,31856.369,2993.796,2877.655,868.792,62.666000000000004,62.56999999999999,1.108064516129032,76.03129032258065,19116209.0,35.4,22767.037,34.2,41.5,2.11,80.18,0.851,103.438422188085
CHL,Chile,2021-01,727109.0,118136.0,112314.285,18452.0,1844.0,1720.145,38036.255,6179.886,5875.3409999999985,965.254,96.464,89.98299999999999,1.1148387096774193,79.17000000000003,19116209.0,35.4,22767.037,34.2,41.5,2.11,80.18,0.851,103.796112985322
CZE,Czechia,2020-05,9268.0,1586.0,1676.1409999999996,320.0,84.0,94.713,865.442,148.1,156.51600000000002,29.881,7.846000000000003,8.845000000000002,0.9000000000000002,54.69129032258063,10708982.0,43.3,32605.906,30.5,38.3,6.63,79.38,0.9,90.3012652690685
CZE,Czechia,2020-06,11954.0,2686.0,2196.144,349.0,29.0,29.000999999999994,1116.259,250.81799999999998,205.07500000000005,32.589,2.706,2.708,1.210666666666667,39.58700000000001,10708982.0,43.3,32605.906,30.5,38.3,6.63,79.38,0.9,94.6615474319821
CZE,Czechia,2020-07,16574.0,4620.0,4506.287,382.0,33.0,27.284999999999997,1547.673,431.413,420.794,35.671,3.0809999999999995,2.5479999999999996,1.1241935483870968,36.020322580645164,10708982.0,43.3,32605.906,30.5,38.3,6.63,79.38,0.9,96.1141906153461
CZE,Czechia,2020-08,24618.0,8044.0,7805.0019999999995,424.0,42.0,45.287,2298.818,751.1469999999999,728.8290000000001,39.593,3.921,4.226000000000001,1.1661290322580649,36.11,10708982.0,43.3,32605.906,30.5,38.3,6.63,79.38,0.9,96.9321367866211
CZE,Czechia,2020-09,70763.0,46145.0,40935.428,655.0,231.0,187.859,6607.818,4309.0,3822.531,61.164,21.571,17.540000000000003,1.4503333333333335,38.241333333333344,10708982.0,43.3,32605.906,30.5,38.3,6.63,79.38,0.9,97.036866026491
CZE,Czechia,2020-10,335102.0,264339.0,232040.572,3251.0,2596.0,2103.57,31291.676,24683.859999999997,21667.848,303.577,242.415,196.431,1.3751612903225805,54.302258064516124,10708982.0,43.3,32605.906,30.5,38.3,6.63,79.38,0.9,96.4840962763495
